system.number,seqid,system,target.name,hmm.accession,hmm.name,protein.name,full.seq.E.value,domain.iE.value,target.coverage,hmm.coverage,start,end,strand,target.description,relative.position,contig.end,all.domains,best.hits
3,NZ_AZEY01000105.1,cas_type_II-A,WP_147008558.1,PDLC02068,Cas2_II_WP_167337171.1,Cas2_II,3.7e-44,4e-44,0.98,0.701,136298,136603,+,-,21,23,"PDLC02071,Cas2_II_WP_086428212.1, 1, 8.9e-31, 0.921, 0.969 | PDLC02073,Cas2_II_WP_029776276.1, 1, 7.4e-26, 0.416, 0.857 | PDLC02068,Cas2_II_WP_167337171.1, 1, 4e-44, 0.98, 0.701 | PDLC02072,Cas2_II_WP_038817100.1, 1, 2.2e-32, 0.634, 0.889 | PDLC02069,Cas2_II_WP_178005650.1, 1, 4.9e-31, 0.95, 0.738","PDLC02068, Cas2_II_WP_167337171.1, 4e-44, 0.98, 0.701 | PDLC02072, Cas2_II_WP_038817100.1, 2.2e-32, 0.634, 0.889 | PDLC02069, Cas2_II_WP_178005650.1, 4.9e-31, 0.95, 0.738 | PDLC02071, Cas2_II_WP_086428212.1, 8.9e-31, 0.921, 0.969 | PDLC02073, Cas2_II_WP_029776276.1, 7.4e-26, 0.416, 0.857"
3,NZ_AZEY01000105.1,cas_type_II-A,WP_057866108.1,PDLC02123,Csn2_WP_164905698.1,Csn2,1.0999999999999997e-90,1.1999999999999999e-90,0.991,0.995,136600,137271,+,-,22,23,"PDLC02127,Csn2_WP_092199373.1, 1, 3e-08, 0.951, 0.956 | PDLC01023,cas_Csn2, 1, 3.8e-51, 0.982, 0.995 | PDLC01380,cd12218, 1, 2.5e-81, 0.982, 0.995 | PDLC02123,Csn2_WP_164905698.1, 1, 1.2e-90, 0.991, 0.995 | PDLC02138,Csn2_WP_178467070.1, 1, 2.5e-07, 0.861, 0.851 | PDLC02132,Csn2_WP_007147955.1, 1, 2.6e-28, 0.906, 0.905 | PDLC01371,cd09758, 1, 1.1e-07, 0.83, 0.853 | PDLC02139,Csn2_WP_057888294.1, 1, 1e-10, 0.749, 0.712 | PDLC01257,cd09644, 1, 1.3e-16, 0.978, 0.986 | PDLC02141,Csn2_WP_150280658.1, 1, 5e-23, 0.906, 0.905 | PDLC02137,Csn2_WP_092874919.1, 1, 7.3e-06, 0.901, 0.923 | PDLC02147,Csn2_WP_022791452.1, 1, 2.4e-17, 0.897, 0.892 | PDLC02119,Csn2_WP_115483433.1, 1, 3.1e-18, 0.978, 0.986 | PDLC02124,Csn2_WP_017261328.1, 1, 4.3e-56, 0.991, 0.991 | PDLC01180,icity0117, 1, 1.8e-13, 0.897, 0.896 | PDLC01648,pfam09711, 1, 3.4e-12, 0.717, 0.903 | PDLC02121,Csn2_WP_159082072.1, 1, 2.3e-10, 0.906, 0.904","PDLC02123, Csn2_WP_164905698.1, 1.2e-90, 0.991, 0.995 | PDLC01380, cd12218, 2.5e-81, 0.982, 0.995 | PDLC02124, Csn2_WP_017261328.1, 4.3e-56, 0.991, 0.991 | PDLC01023, cas_Csn2, 3.8e-51, 0.982, 0.995 | PDLC02132, Csn2_WP_007147955.1, 2.6e-28, 0.906, 0.905"
4,NZ_BCAH01000022.1,cas_type_II-A,WP_093625409.1,PDLC02123,Csn2_WP_164905698.1,Csn2,2.0999999999999998e-77,2.3999999999999995e-77,0.991,0.995,12698,13369,-,-,10,28,"PDLC02127,Csn2_WP_092199373.1, 1, 1.7e-07, 0.973, 0.982 | PDLC01023,cas_Csn2, 1, 6.7e-39, 0.982, 0.995 | PDLC01380,cd12218, 1, 1.9e-71, 0.982, 0.995 | PDLC02123,Csn2_WP_164905698.1, 1, 2.4e-77, 0.991, 0.995 | PDLC02132,Csn2_WP_007147955.1, 1, 2e-19, 0.964, 0.959 | PDLC01371,cd09758, 1, 3.1e-06, 0.87, 0.876 | PDLC02139,Csn2_WP_057888294.1, 1, 2.2e-07, 0.614, 0.584 | PDLC01257,cd09644, 1, 1.8e-13, 0.973, 0.982 | PDLC02141,Csn2_WP_150280658.1, 1, 4.6e-16, 0.964, 0.959 | PDLC02137,Csn2_WP_092874919.1, 1, 0.0014, 0.973, 0.982 | PDLC02147,Csn2_WP_022791452.1, 1, 1.8e-06, 0.924, 0.914 | PDLC02119,Csn2_WP_115483433.1, 1, 4.6e-20, 0.978, 0.986 | PDLC02124,Csn2_WP_017261328.1, 1, 1.7e-43, 0.991, 0.991 | PDLC01180,icity0117, 1, 3.1e-05, 0.883, 0.883 | PDLC01648,pfam09711, 1, 3.6e-07, 0.803, 0.977 | PDLC02121,Csn2_WP_159082072.1, 1, 7.1e-07, 0.852, 0.876","PDLC02123, Csn2_WP_164905698.1, 2.4e-77, 0.991, 0.995 | PDLC01380, cd12218, 1.9e-71, 0.982, 0.995 | PDLC02124, Csn2_WP_017261328.1, 1.7e-43, 0.991, 0.991 | PDLC01023, cas_Csn2, 6.7e-39, 0.982, 0.995 | PDLC02119, Csn2_WP_115483433.1, 4.6e-20, 0.978, 0.986"
4,NZ_BCAH01000022.1,cas_type_II-A,WP_093625411.1,PDLC02068,Cas2_II_WP_167337171.1,Cas2_II,7.299999999999999e-45,7.899999999999999e-45,0.98,0.701,13366,13671,-,-,11,28,"PDLC02071,Cas2_II_WP_086428212.1, 1, 8.6e-29, 0.911, 0.959 | PDLC02073,Cas2_II_WP_029776276.1, 1, 2.1e-25, 0.416, 0.857 | PDLC02068,Cas2_II_WP_167337171.1, 1, 7.9e-45, 0.98, 0.701 | PDLC02072,Cas2_II_WP_038817100.1, 1, 4.5e-33, 0.634, 0.889 | PDLC02069,Cas2_II_WP_178005650.1, 1, 1.1e-30, 0.891, 0.708","PDLC02068, Cas2_II_WP_167337171.1, 7.9e-45, 0.98, 0.701 | PDLC02072, Cas2_II_WP_038817100.1, 4.5e-33, 0.634, 0.889 | PDLC02069, Cas2_II_WP_178005650.1, 1.1e-30, 0.891, 0.708 | PDLC02071, Cas2_II_WP_086428212.1, 8.6e-29, 0.911, 0.959 | PDLC02073, Cas2_II_WP_029776276.1, 2.1e-25, 0.416, 0.857"
4,NZ_BCAH01000022.1,cas_type_II-A,WP_093625413.1,PDLC02061,Cas1_II_WP_078484493.1,Cas1_II,1.2e-97,1.2999999999999998e-97,0.967,0.836,13649,14554,-,-,12,28,"PDLC02062,Cas1_II_WP_122951193.1, 1, 1.4e-22, 0.824, 0.874 | PDLC02061,Cas1_II_WP_078484493.1, 1, 1.3e-97, 0.967, 0.836","PDLC02061, Cas1_II_WP_078484493.1, 1.3e-97, 0.967, 0.836 | PDLC02062, Cas1_II_WP_122951193.1, 1.4e-22, 0.824, 0.874"
4,NZ_BCAH01000022.1,cas_type_II-A,WP_167336629.1,PDLC01580,mkCas0193,Cas9,0,0,0.998,0.997,14750,18859,-,-,13,28,"PDLC00975,cas9_maka_4_II, 1, 9.9e-127, 0.76, 0.707 | PDLC00975,cas9_maka_4_II, 2, 0.27, 0.109, 0.094 | PDLC01460,COG3513, 1, 7.7e-142, 0.906, 0.879 | PDLC01580,mkCas0193, 1, 0, 0.998, 0.997 | PDLC00973,cas_Csn1, 1, 3.2e-175, 0.77, 0.981 | PDLC00973,cas_Csn1, 2, 18, 0.034, 0.06 | PDLC01104,icity0002, 1, 0.016, 0.725, 0.58 | PDLC01256,cd09643, 1, 7.3e-167, 0.76, 0.979 | PDLC01256,cd09643, 2, 86, 0.184, 0.217","PDLC01580, mkCas0193, 0, 0.998, 0.997 | PDLC00973, cas_Csn1, 3.2e-175, 0.77, 0.981 | PDLC01256, cd09643, 7.3e-167, 0.76, 0.979 | PDLC01460, COG3513, 7.7e-142, 0.906, 0.879 | PDLC00975, cas9_maka_4_II, 9.9e-127, 0.76, 0.707"
5,NZ_CABFNH010000025.1,PDC-M24,WP_143113256.1,PDLC04539,PDC-M24B_WP_172176026.1,PDC-M24B,2.9e-56,3.6e-56,0.965,0.957,17894,18664,-,-,14,19,"PDLC04539,PDC-M24B_WP_172176026.1, 1, 3.6e-56, 0.965, 0.957 | PDLC04540,PDC-M24B_WP_194058944.1, 1, 4.9e-15, 0.922, 0.922","PDLC04539, PDC-M24B_WP_172176026.1, 3.6e-56, 0.965, 0.957 | PDLC04540, PDC-M24B_WP_194058944.1, 4.9e-15, 0.922, 0.922"
5,NZ_CABFNH010000025.1,PDC-M24,WP_039945656.1,PDLC04538,PDC-M24A_WP_014405001.1,PDC-M24A,2.1e-12,2.5e-12,0.923,0.911,18682,19110,-,-,15,19,"PDLC04538,PDC-M24A_WP_014405001.1, 1, 2.5e-12, 0.923, 0.911","PDLC04538, PDC-M24A_WP_014405001.1, 2.5e-12, 0.923, 0.911"
6,NZ_CABFNH010000025.1,cas_type_II-A,WP_185910605.1,PDLC01580,mkCas0193,Cas9,0,0,0.892,0.907,19577,23764,+,-,16,19,"PDLC00975,cas9_maka_4_II, 1, 5.5e-118, 0.743, 0.706 | PDLC00975,cas9_maka_4_II, 2, 6, 0.102, 0.134 | PDLC01460,COG3513, 1, 1.9e-142, 0.923, 0.929 | PDLC01580,mkCas0193, 1, 2.1e-56, 0.096, 0.099 | PDLC01580,mkCas0193, 2, 0, 0.892, 0.907 | PDLC00973,cas_Csn1, 1, 3e-175, 0.741, 0.966 | PDLC01256,cd09643, 1, 4e-162, 0.741, 0.973 | PDLC01256,cd09643, 2, 7.9, 0.052, 0.087","PDLC01580, mkCas0193, 0, 0.892, 0.907 | PDLC00973, cas_Csn1, 3e-175, 0.741, 0.966 | PDLC01256, cd09643, 4e-162, 0.741, 0.973 | PDLC01460, COG3513, 1.9e-142, 0.923, 0.929 | PDLC00975, cas9_maka_4_II, 5.5e-118, 0.743, 0.706"
6,NZ_CABFNH010000025.1,cas_type_II-A,WP_143113257.1,PDLC02061,Cas1_II_WP_078484493.1,Cas1_II,1.2999999999999995e-106,1.3999999999999997e-106,0.967,0.836,23971,24876,+,-,17,19,"PDLC02062,Cas1_II_WP_122951193.1, 1, 5.5e-22, 0.867, 0.915 | PDLC02061,Cas1_II_WP_078484493.1, 1, 1.4e-106, 0.967, 0.836","PDLC02061, Cas1_II_WP_078484493.1, 1.4e-106, 0.967, 0.836 | PDLC02062, Cas1_II_WP_122951193.1, 5.5e-22, 0.867, 0.915"
6,NZ_CABFNH010000025.1,cas_type_II-A,WP_128512894.1,PDLC02068,Cas2_II_WP_167337171.1,Cas2_II,9.999999999999999e-44,1.1e-43,0.98,0.701,24854,25159,+,-,18,19,"PDLC02071,Cas2_II_WP_086428212.1, 1, 3.8e-30, 0.921, 0.969 | PDLC02073,Cas2_II_WP_029776276.1, 1, 1.1e-24, 0.406, 0.837 | PDLC02068,Cas2_II_WP_167337171.1, 1, 1.1e-43, 0.98, 0.701 | PDLC02072,Cas2_II_WP_038817100.1, 1, 4e-30, 0.653, 0.917 | PDLC02069,Cas2_II_WP_178005650.1, 1, 4.8e-29, 0.881, 0.685","PDLC02068, Cas2_II_WP_167337171.1, 1.1e-43, 0.98, 0.701 | PDLC02071, Cas2_II_WP_086428212.1, 3.8e-30, 0.921, 0.969 | PDLC02072, Cas2_II_WP_038817100.1, 4e-30, 0.653, 0.917 | PDLC02069, Cas2_II_WP_178005650.1, 4.8e-29, 0.881, 0.685 | PDLC02073, Cas2_II_WP_029776276.1, 1.1e-24, 0.406, 0.837"
6,NZ_CABFNH010000025.1,cas_type_II-A,WP_143113258.1,PDLC02123,Csn2_WP_164905698.1,Csn2,1.1999999999999998e-74,1.2999999999999997e-74,0.991,0.995,25156,25827,+,-,19,19,"PDLC02127,Csn2_WP_092199373.1, 1, 1.4e-09, 0.96, 0.965 | PDLC01023,cas_Csn2, 1, 1.2e-36, 0.982, 0.995 | PDLC01380,cd12218, 1, 1.3e-64, 0.982, 0.995 | PDLC02123,Csn2_WP_164905698.1, 1, 1.3e-74, 0.991, 0.995 | PDLC02132,Csn2_WP_007147955.1, 1, 1.5e-26, 0.96, 0.955 | PDLC02139,Csn2_WP_057888294.1, 1, 7.1, 0.179, 0.167 | PDLC02139,Csn2_WP_057888294.1, 2, 2.1e-07, 0.632, 0.601 | PDLC01257,cd09644, 1, 1.2e-10, 0.978, 0.986 | PDLC02141,Csn2_WP_150280658.1, 1, 7.9e-21, 0.964, 0.959 | PDLC02137,Csn2_WP_092874919.1, 1, 0.025, 0.274, 0.264 | PDLC02147,Csn2_WP_022791452.1, 1, 1.6e-08, 0.928, 0.919 | PDLC02119,Csn2_WP_115483433.1, 1, 2e-13, 0.951, 0.955 | PDLC02124,Csn2_WP_017261328.1, 1, 1.3e-48, 0.991, 0.991 | PDLC01180,icity0117, 1, 3.8e-05, 0.879, 0.878 | PDLC01648,pfam09711, 1, 7.1e-06, 0.628, 0.737","PDLC02123, Csn2_WP_164905698.1, 1.3e-74, 0.991, 0.995 | PDLC01380, cd12218, 1.3e-64, 0.982, 0.995 | PDLC02124, Csn2_WP_017261328.1, 1.3e-48, 0.991, 0.991 | PDLC01023, cas_Csn2, 1.2e-36, 0.982, 0.995 | PDLC02132, Csn2_WP_007147955.1, 1.5e-26, 0.96, 0.955"
8,NZ_CANCVZ010000004.1,cas_type_II-A,WP_283574309.1,PDLC02123,Csn2_WP_164905698.1,Csn2,1.5999999999999997e-63,1.7999999999999995e-63,0.991,0.995,157602,158273,-,-,18,33,"PDLC02127,Csn2_WP_092199373.1, 1, 3.9e-09, 0.982, 0.991 | PDLC01023,cas_Csn2, 1, 2.3e-39, 0.982, 0.995 | PDLC01380,cd12218, 1, 1.1e-58, 0.982, 0.995 | PDLC02123,Csn2_WP_164905698.1, 1, 1.8e-63, 0.991, 0.995 | PDLC02132,Csn2_WP_007147955.1, 1, 2.6e-16, 0.96, 0.955 | PDLC01371,cd09758, 1, 2e-07, 0.852, 0.876 | PDLC02139,Csn2_WP_057888294.1, 1, 1e-12, 0.883, 0.884 | PDLC02143,Csn2_WP_120472926.1, 1, 1.5e-10, 0.933, 0.93 | PDLC01257,cd09644, 1, 1.9e-09, 0.978, 0.986 | PDLC02141,Csn2_WP_150280658.1, 1, 1.7e-15, 0.951, 0.945 | PDLC02147,Csn2_WP_022791452.1, 1, 3.6e-11, 0.955, 0.946 | PDLC02119,Csn2_WP_115483433.1, 1, 2.8e-17, 0.978, 0.986 | PDLC02124,Csn2_WP_017261328.1, 1, 4.8e-39, 0.991, 0.991 | PDLC01180,icity0117, 1, 5.7e-10, 0.937, 0.932 | PDLC01648,pfam09711, 1, 8.7e-12, 0.753, 0.949 | PDLC02121,Csn2_WP_159082072.1, 1, 2.3e-09, 0.924, 0.922","PDLC02123, Csn2_WP_164905698.1, 1.8e-63, 0.991, 0.995 | PDLC01380, cd12218, 1.1e-58, 0.982, 0.995 | PDLC01023, cas_Csn2, 2.3e-39, 0.982, 0.995 | PDLC02124, Csn2_WP_017261328.1, 4.8e-39, 0.991, 0.991 | PDLC02119, Csn2_WP_115483433.1, 2.8e-17, 0.978, 0.986"
8,NZ_CANCVZ010000004.1,cas_type_II-A,WP_283574331.1,PDLC02068,Cas2_II_WP_167337171.1,Cas2_II,1e-44,1.1e-44,0.98,0.701,158270,158575,-,-,19,33,"PDLC02071,Cas2_II_WP_086428212.1, 1, 1.5e-29, 0.911, 0.959 | PDLC02073,Cas2_II_WP_029776276.1, 1, 2.9e-24, 0.416, 0.857 | PDLC02068,Cas2_II_WP_167337171.1, 1, 1.1e-44, 0.98, 0.701 | PDLC02072,Cas2_II_WP_038817100.1, 1, 9.3e-31, 0.653, 0.917 | PDLC02069,Cas2_II_WP_178005650.1, 1, 4.5e-30, 0.891, 0.708","PDLC02068, Cas2_II_WP_167337171.1, 1.1e-44, 0.98, 0.701 | PDLC02072, Cas2_II_WP_038817100.1, 9.3e-31, 0.653, 0.917 | PDLC02069, Cas2_II_WP_178005650.1, 4.5e-30, 0.891, 0.708 | PDLC02071, Cas2_II_WP_086428212.1, 1.5e-29, 0.911, 0.959 | PDLC02073, Cas2_II_WP_029776276.1, 2.9e-24, 0.416, 0.857"
8,NZ_CANCVZ010000004.1,cas_type_II-A,WP_283574310.1,PDLC02061,Cas1_II_WP_078484493.1,Cas1_II,1.8999999999999997e-102,2.2999999999999995e-102,0.973,0.83,158553,159458,-,-,20,33,"PDLC02062,Cas1_II_WP_122951193.1, 1, 7.2e-21, 0.744, 0.785 | PDLC02061,Cas1_II_WP_078484493.1, 1, 2.3e-102, 0.973, 0.83","PDLC02061, Cas1_II_WP_078484493.1, 2.3e-102, 0.973, 0.83 | PDLC02062, Cas1_II_WP_122951193.1, 7.2e-21, 0.744, 0.785"
