replicon	hit_id	gene_name	hit_pos	model_fqn	sys_id	sys_loci	locus_num	sys_wholeness	sys_score	sys_occ	hit_gene_ref	hit_status	hit_seq_len	hit_i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match	counterpart	used_in
BGV76	BGV76_01825	cas9_II-A_1	334	CasFinder/CAS_Class2-Subtype-II-A	BGV76_CAS_Class2-Subtype-II-A_12	1	1	1.000	4.000	1	cas9_II-A_1	mandatory	1378	0.0	1659.600	0.911	0.898	141	1378		BGV76_CAS_Class2-Type-II_13,BGV76_CAS_Cluster_14
BGV76	BGV76_01830	cas1_I_II_III_IV_V_VI_5	335	CasFinder/CAS_Class2-Subtype-II-A	BGV76_CAS_Class2-Subtype-II-A_12	1	1	1.000	4.000	1	cas1_I_II_III_IV_V_VI_5	accessory	301	1.6e-78	258.400	0.996	0.890	3	270		BGV76_CAS_Class2-Type-II_13,BGV76_CAS_Cluster_14
BGV76	BGV76_01835	cas2_I_II_III_IV_V_VI_11	336	CasFinder/CAS_Class2-Subtype-II-A	BGV76_CAS_Class2-Subtype-II-A_12	1	1	1.000	4.000	1	cas2_I_II_III_IV_V_VI_6	accessory	101	9.2e-55	177.900	1.000	1.000	1	101		BGV76_CAS_Class2-Type-II_13,BGV76_CAS_Cluster_14
BGV76	BGV76_01840	csn2_II-A_6	337	CasFinder/CAS_Class2-Subtype-II-A	BGV76_CAS_Class2-Subtype-II-A_12	1	1	1.000	4.000	1	csn2_II-A_4	mandatory	223	1.2e-77	255.200	1.000	0.987	2	221		BGV76_CAS_Class2-Type-II_13,BGV76_CAS_Cluster_14
C1Y38	C1Y38_RS06685	cas9_II-A_1	428	CasFinder/CAS_Class2-Subtype-II-A	C1Y38_CAS_Class2-Subtype-II-A_15	1	1	1.000	4.000	1	cas9_II-A_1	mandatory	1378	0.0	1765.500	0.911	0.901	138	1378		C1Y38_CAS_Class2-Type-II_16,C1Y38_CAS_Cluster_17
C1Y38	C1Y38_RS06690	cas1_I_II_III_IV_V_VI_5	429	CasFinder/CAS_Class2-Subtype-II-A	C1Y38_CAS_Class2-Subtype-II-A_15	1	1	1.000	4.000	1	cas1_I_II_III_IV_V_VI_5	accessory	301	5.9e-79	259.800	0.996	0.890	3	270		C1Y38_CAS_Class2-Type-II_16,C1Y38_CAS_Cluster_17
C1Y38	C1Y38_RS06695	cas2_I_II_III_IV_V_VI_11	430	CasFinder/CAS_Class2-Subtype-II-A	C1Y38_CAS_Class2-Subtype-II-A_15	1	1	1.000	4.000	1	cas2_I_II_III_IV_V_VI_6	accessory	101	3.8e-54	176.000	1.000	1.000	1	101		C1Y38_CAS_Class2-Type-II_16,C1Y38_CAS_Cluster_17
C1Y38	C1Y38_RS06700	csn2_II-A_6	431	CasFinder/CAS_Class2-Subtype-II-A	C1Y38_CAS_Class2-Subtype-II-A_15	1	1	1.000	4.000	1	csn2_II-A_4	mandatory	223	5.6e-78	256.300	1.000	0.987	2	221		C1Y38_CAS_Class2-Type-II_16,C1Y38_CAS_Cluster_17
DTK66	DTK66_RS06665	csn2_II-A_6	85	CasFinder/CAS_Class2-Subtype-II-A	DTK66_CAS_Class2-Subtype-II-A_18	1	1	1.000	4.000	1	csn2_II-A_4	mandatory	223	3.3e-77	253.800	1.000	0.987	2	221		DTK66_CAS_Class2-Type-II_19,DTK66_CAS_Cluster_20
DTK66	DTK66_RS06670	cas2_I_II_III_IV_V_VI_11	86	CasFinder/CAS_Class2-Subtype-II-A	DTK66_CAS_Class2-Subtype-II-A_18	1	1	1.000	4.000	1	cas2_I_II_III_IV_V_VI_6	accessory	101	2e-55	180.100	1.000	1.000	1	101		DTK66_CAS_Class2-Type-II_19,DTK66_CAS_Cluster_20
DTK66	DTK66_RS06675	cas1_I_II_III_IV_V_VI_5	87	CasFinder/CAS_Class2-Subtype-II-A	DTK66_CAS_Class2-Subtype-II-A_18	1	1	1.000	4.000	1	cas1_I_II_III_IV_V_VI_5	accessory	302	1.6e-87	287.900	0.996	0.891	3	271		DTK66_CAS_Class2-Type-II_19,DTK66_CAS_Cluster_20
DTK66	DTK66_RS06680	cas9_II-A_1	88	CasFinder/CAS_Class2-Subtype-II-A	DTK66_CAS_Class2-Subtype-II-A_18	1	1	1.000	4.000	1	cas9_II-A_1	mandatory	1376	0.0	1988.500	0.996	0.993	4	1370		DTK66_CAS_Class2-Type-II_19,DTK66_CAS_Cluster_20
FC85	FC85_RS13840	cas9_II-A_1	409	CasFinder/CAS_Class2-Subtype-II-A	FC85_CAS_Class2-Subtype-II-A_21	1	1	1.000	4.000	1	cas9_II-A_1	mandatory	1363	0.0	2118.600	0.996	0.998	4	1363		FC85_CAS_Class2-Type-II_22,FC85_CAS_Cluster_23
FC85	FC85_RS13845	cas1_I_II_III_IV_V_VI_5	410	CasFinder/CAS_Class2-Subtype-II-A	FC85_CAS_Class2-Subtype-II-A_21	1	1	1.000	4.000	1	cas1_I_II_III_IV_V_VI_5	accessory	301	2.1e-88	290.800	0.996	0.890	3	270		FC85_CAS_Class2-Type-II_22,FC85_CAS_Cluster_23
FC85	FC85_RS13850	cas2_I_II_III_IV_V_VI_11	411	CasFinder/CAS_Class2-Subtype-II-A	FC85_CAS_Class2-Subtype-II-A_21	1	1	1.000	4.000	1	cas2_I_II_III_IV_V_VI_6	accessory	101	5e-57	185.200	1.000	1.000	1	101		FC85_CAS_Class2-Type-II_22,FC85_CAS_Cluster_23
FC85	FC85_RS13855	csn2_II-A_6	412	CasFinder/CAS_Class2-Subtype-II-A	FC85_CAS_Class2-Subtype-II-A_21	1	1	1.000	4.000	1	csn2_II-A_4	mandatory	223	5e-81	266.300	1.000	0.987	2	221		FC85_CAS_Class2-Type-II_22,FC85_CAS_Cluster_23
I5Q80	I5Q80_RS09130	cas9_II-A_1	184	CasFinder/CAS_Class2-Subtype-II-A	I5Q80_CAS_Class2-Subtype-II-A_24	1	1	1.000	4.000	1	cas9_II-A_1	mandatory	1382	0.0	2070.800	0.997	0.995	3	1377		I5Q80_CAS_Class2-Type-II_26,I5Q80_CAS_Cluster_28
I5Q80	I5Q80_RS09135	cas1_I_II_III_IV_V_VI_5	185	CasFinder/CAS_Class2-Subtype-II-A	I5Q80_CAS_Class2-Subtype-II-A_24	1	1	1.000	4.000	1	cas1_I_II_III_IV_V_VI_5	accessory	302	1.4e-85	281.500	0.996	0.891	3	271		I5Q80_CAS_Class2-Subtype-V-F_25,I5Q80_CAS_Class2-Type-II_26,I5Q80_CAS_Class2-Type-V_27,I5Q80_CAS_Cluster_28
I5Q80	I5Q80_RS09140	cas2_I_II_III_IV_V_VI_11	186	CasFinder/CAS_Class2-Subtype-II-A	I5Q80_CAS_Class2-Subtype-II-A_24	1	1	1.000	4.000	1	cas2_I_II_III_IV_V_VI_6	accessory	101	7.7e-56	181.400	1.000	1.000	1	101		I5Q80_CAS_Class2-Subtype-V-F_25,I5Q80_CAS_Class2-Type-II_26,I5Q80_CAS_Class2-Type-V_27,I5Q80_CAS_Cluster_28
I5Q80	I5Q80_RS09145	csn2_II-A_6	187	CasFinder/CAS_Class2-Subtype-II-A	I5Q80_CAS_Class2-Subtype-II-A_24	1	1	1.000	4.000	1	csn2_II-A_4	mandatory	223	1e-77	255.500	1.000	0.987	2	221		I5Q80_CAS_Class2-Type-II_26,I5Q80_CAS_Cluster_28
I6U31	I6U31_RS06360	csn2_II-A_6	287	CasFinder/CAS_Class2-Subtype-II-A	I6U31_CAS_Class2-Subtype-II-A_29	1	1	1.000	4.000	1	csn2_II-A_4	mandatory	223	2.4e-78	257.500	1.000	0.987	2	221		I6U31_CAS_Class2-Type-II_30,I6U31_CAS_Cluster_31
I6U31	I6U31_RS06365	cas2_I_II_III_IV_V_VI_11	288	CasFinder/CAS_Class2-Subtype-II-A	I6U31_CAS_Class2-Subtype-II-A_29	1	1	1.000	4.000	1	cas2_I_II_III_IV_V_VI_6	accessory	101	9.2e-55	177.900	1.000	1.000	1	101		I6U31_CAS_Class2-Type-II_30,I6U31_CAS_Cluster_31
I6U31	I6U31_RS06370	cas1_I_II_III_IV_V_VI_5	289	CasFinder/CAS_Class2-Subtype-II-A	I6U31_CAS_Class2-Subtype-II-A_29	1	1	1.000	4.000	1	cas1_I_II_III_IV_V_VI_5	accessory	242	1.4e-55	183.100	0.673	0.740	33	211		I6U31_CAS_Class2-Type-II_30,I6U31_CAS_Cluster_31
I6U31	I6U31_RS06390	cas9_II-A_1	293	CasFinder/CAS_Class2-Subtype-II-A	I6U31_CAS_Class2-Subtype-II-A_29	1	1	1.000	4.000	1	cas9_II-A_1	mandatory	1378	0.0	1622.100	0.911	0.901	138	1378		I6U31_CAS_Class2-Type-II_30,I6U31_CAS_Cluster_31
IV45	IV45_RS07785	csn2_II-A_6	108	CasFinder/CAS_Class2-Subtype-II-A	IV45_CAS_Class2-Subtype-II-A_50	1	1	0.500	2.000	1	csn2_II-A_4	mandatory	117	2.1e-27	90.900	0.434	0.812	15	109		IV45_CAS_Class2-Type-II_51,IV45_CAS_Cluster_52
IV45	IV45_RS05340	cas9_II-A_1	109	CasFinder/CAS_Class2-Subtype-II-A	IV45_CAS_Class2-Subtype-II-A_50	1	1	0.500	2.000	1	cas9_II-A_1	mandatory	1365	0.0	1965.400	0.998	0.994	3	1359		IV45_CAS_Class2-Type-II_51,IV45_CAS_Cluster_52
JIO03	JIO03_RS04145	cas9_II-A_1	252	CasFinder/CAS_Class2-Subtype-II-A	JIO03_CAS_Class2-Subtype-II-A_32	1	1	1.000	4.000	1	cas9_II-A_1	mandatory	1143	0.0	1424.200	0.711	0.854	138	1113		JIO03_CAS_Class2-Type-II_33,JIO03_CAS_Cluster_34
JIO03	JIO03_RS04165	cas1_I_II_III_IV_V_VI_5	256	CasFinder/CAS_Class2-Subtype-II-A	JIO03_CAS_Class2-Subtype-II-A_32	1	1	1.000	4.000	1	cas1_I_II_III_IV_V_VI_5	accessory	282	1.1e-73	242.500	0.931	0.887	2	251		JIO03_CAS_Class2-Type-II_33,JIO03_CAS_Cluster_34
JIO03	JIO03_RS04170	cas2_I_II_III_IV_V_VI_11	257	CasFinder/CAS_Class2-Subtype-II-A	JIO03_CAS_Class2-Subtype-II-A_32	1	1	1.000	4.000	1	cas2_I_II_III_IV_V_VI_6	accessory	101	3.5e-54	176.100	1.000	1.000	1	101		JIO03_CAS_Class2-Type-II_33,JIO03_CAS_Cluster_34
JIO03	JIO03_RS04175	csn2_II-A_6	258	CasFinder/CAS_Class2-Subtype-II-A	JIO03_CAS_Class2-Subtype-II-A_32	1	1	1.000	4.000	1	csn2_II-A_4	mandatory	223	6.7e-77	252.800	1.000	0.987	2	221		JIO03_CAS_Class2-Type-II_33,JIO03_CAS_Cluster_34
LFER	LFER_RS09520	csn2_II-A_6	68	CasFinder/CAS_Class2-Subtype-II-A	LFER_CAS_Class2-Subtype-II-A_35	1	1	1.000	4.000	1	csn2_II-A_4	mandatory	93	3.2e-27	90.400	0.411	0.978	3	93		LFER_CAS_Class2-Type-II_36,LFER_CAS_Cluster_37
LFER	LFER_RS09525	cas2_I_II_III_IV_V_VI_11	69	CasFinder/CAS_Class2-Subtype-II-A	LFER_CAS_Class2-Subtype-II-A_35	1	1	1.000	4.000	1	cas2_I_II_III_IV_V_VI_6	accessory	101	3.5e-54	176.100	1.000	1.000	1	101		LFER_CAS_Class2-Type-II_36,LFER_CAS_Cluster_37
LFER	LFER_RS09530	cas1_I_II_III_IV_V_VI_5	70	CasFinder/CAS_Class2-Subtype-II-A	LFER_CAS_Class2-Subtype-II-A_35	1	1	1.000	4.000	1	cas1_I_II_III_IV_V_VI_5	accessory	301	5.9e-79	259.800	0.996	0.890	3	270		LFER_CAS_Class2-Type-II_36,LFER_CAS_Cluster_37
LFER	LFER_RS09535	cas9_II-A_1	71	CasFinder/CAS_Class2-Subtype-II-A	LFER_CAS_Class2-Subtype-II-A_35	1	1	1.000	4.000	1	cas9_II-A_1	mandatory	842	0.0	1180.700	0.618	1.000	1	842		LFER_CAS_Class2-Type-II_36,LFER_CAS_Cluster_37
LKE14	LKE14_RS08935	csn2_II-A_6	369	CasFinder/CAS_Class2-Subtype-II-A	LKE14_CAS_Class2-Subtype-II-A_38	1	1	1.000	4.000	1	csn2_II-A_4	mandatory	223	3.2e-64	211.300	0.995	0.982	3	221		LKE14_CAS_Class2-Type-II_39,LKE14_CAS_Cluster_40
LKE14	LKE14_RS08940	cas2_I_II_III_IV_V_VI_11	370	CasFinder/CAS_Class2-Subtype-II-A	LKE14_CAS_Class2-Subtype-II-A_38	1	1	1.000	4.000	1	cas2_I_II_III_IV_V_VI_6	accessory	101	5.9e-54	175.300	1.000	1.000	1	101		LKE14_CAS_Class2-Type-II_39,LKE14_CAS_Cluster_40
LKE14	LKE14_RS08945	cas1_I_II_III_IV_V_VI_5	371	CasFinder/CAS_Class2-Subtype-II-A	LKE14_CAS_Class2-Subtype-II-A_38	1	1	1.000	4.000	1	cas1_I_II_III_IV_V_VI_5	accessory	302	5.3e-86	282.900	0.993	0.887	3	270		LKE14_CAS_Class2-Type-II_39,LKE14_CAS_Cluster_40
LKE14	LKE14_RS08950	cas9_II-A_1	372	CasFinder/CAS_Class2-Subtype-II-A	LKE14_CAS_Class2-Subtype-II-A_38	1	1	1.000	4.000	1	cas9_II-A_1	mandatory	1372	0.0	1991.700	0.997	0.996	4	1370		LKE14_CAS_Class2-Type-II_39,LKE14_CAS_Cluster_40
LMUP508	LMUP508_RS07570	cas9_II-A_1	64	CasFinder/CAS_Class2-Subtype-II-A	LMUP508_CAS_Class2-Subtype-II-A_41	1	1	1.000	4.000	1	cas9_II-A_1	mandatory	1395	0.0	1749.200	0.909	0.892	151	1395		LMUP508_CAS_Class2-Type-II_42,LMUP508_CAS_Cluster_43
LMUP508	LMUP508_RS07575	cas1_I_II_III_IV_V_VI_5	65	CasFinder/CAS_Class2-Subtype-II-A	LMUP508_CAS_Class2-Subtype-II-A_41	1	1	1.000	4.000	1	cas1_I_II_III_IV_V_VI_5	accessory	301	1.2e-87	288.300	0.993	0.887	3	269		LMUP508_CAS_Class2-Type-II_42,LMUP508_CAS_Cluster_43
LMUP508	LMUP508_RS07580	cas2_I_II_III_IV_V_VI_11	66	CasFinder/CAS_Class2-Subtype-II-A	LMUP508_CAS_Class2-Subtype-II-A_41	1	1	1.000	4.000	1	cas2_I_II_III_IV_V_VI_6	accessory	101	4.5e-55	178.900	1.000	1.000	1	101		LMUP508_CAS_Class2-Type-II_42,LMUP508_CAS_Cluster_43
LMUP508	LMUP508_RS07585	csn2_II-A_6	67	CasFinder/CAS_Class2-Subtype-II-A	LMUP508_CAS_Class2-Subtype-II-A_41	1	1	1.000	4.000	1	csn2_II-A_4	mandatory	223	3.8e-64	211.100	1.000	0.987	2	221		LMUP508_CAS_Class2-Type-II_42,LMUP508_CAS_Cluster_43
Q3978	Q3978_02110	cas9_II-A_1	17	CasFinder/CAS_Class2-Subtype-II-A	Q3978_CAS_Class2-Subtype-II-A_44	1	1	1.000	4.000	1	cas9_II-A_1	mandatory	1380	0.0	1887.900	0.997	0.999	2	1380		Q3978_CAS_Class2-Type-II_45,Q3978_CAS_Cluster_46
Q3978	Q3978_02115	cas1_I_II_III_IV_V_VI_5	18	CasFinder/CAS_Class2-Subtype-II-A	Q3978_CAS_Class2-Subtype-II-A_44	1	1	1.000	4.000	1	cas1_I_II_III_IV_V_VI_5	accessory	301	2e-80	264.600	0.996	0.890	3	270		Q3978_CAS_Class2-Type-II_45,Q3978_CAS_Cluster_46
Q3978	Q3978_02120	cas2_I_II_III_IV_V_VI_11	19	CasFinder/CAS_Class2-Subtype-II-A	Q3978_CAS_Class2-Subtype-II-A_44	1	1	1.000	4.000	1	cas2_I_II_III_IV_V_VI_6	accessory	101	1.1e-54	177.700	1.000	1.000	1	101		Q3978_CAS_Class2-Type-II_45,Q3978_CAS_Cluster_46
Q3978	Q3978_02125	csn2_II-A_6	20	CasFinder/CAS_Class2-Subtype-II-A	Q3978_CAS_Class2-Subtype-II-A_44	1	1	1.000	4.000	1	csn2_II-A_4	mandatory	223	6.9e-71	233.100	1.000	0.987	2	221		Q3978_CAS_Class2-Type-II_45,Q3978_CAS_Cluster_46
QOR70	QOR70_RS04775	csn2_II-A_6	146	CasFinder/CAS_Class2-Subtype-II-A	QOR70_CAS_Class2-Subtype-II-A_47	1	1	1.000	4.000	1	csn2_II-A_4	mandatory	223	4.3e-57	188.000	1.000	0.987	2	221		QOR70_CAS_Class2-Type-II_48,QOR70_CAS_Cluster_49
QOR70	QOR70_RS04780	cas2_I_II_III_IV_V_VI_11	147	CasFinder/CAS_Class2-Subtype-II-A	QOR70_CAS_Class2-Subtype-II-A_47	1	1	1.000	4.000	1	cas2_I_II_III_IV_V_VI_6	accessory	101	9.4e-56	181.100	1.000	1.000	1	101		QOR70_CAS_Class2-Type-II_48,QOR70_CAS_Cluster_49
QOR70	QOR70_RS04785	cas1_I_II_III_IV_V_VI_5	148	CasFinder/CAS_Class2-Subtype-II-A	QOR70_CAS_Class2-Subtype-II-A_47	1	1	1.000	4.000	1	cas1_I_II_III_IV_V_VI_5	accessory	301	1.1e-82	272.100	0.996	0.890	3	270		QOR70_CAS_Class2-Type-II_48,QOR70_CAS_Cluster_49
QOR70	QOR70_RS04790	cas9_II-A_1	149	CasFinder/CAS_Class2-Subtype-II-A	QOR70_CAS_Class2-Subtype-II-A_47	1	1	1.000	4.000	1	cas9_II-A_1	mandatory	1375	0.0	1658.000	0.998	0.999	2	1375		QOR70_CAS_Class2-Type-II_48,QOR70_CAS_Cluster_49
