hit_id	replicon	hit_pos	hit_sequence_length	gene_name	i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match
FC85_RS13845	FC85	410	301	cas1_I_II_III_IV_V_VI_1	4.800e-50	165.100	0.991	0.900	5	275
FC85_RS13845	FC85	410	301	cas1_I_II_III_IV_V_VI_2	1.200e-30	101.300	0.942	0.734	8	228
FC85_RS13845	FC85	410	301	cas1_I_II_III_IV_V_VI_8	8.200e-48	157.800	0.750	0.754	1	227
FC85_RS13845	FC85	410	301	cas1_I_II_III_IV_V_VI_10	1.300e-32	107.900	0.859	0.731	7	226
FC85_RS13850	FC85	411	101	cas2_I_II_III_IV_V_VI_11	5.000e-57	185.200	1.000	1.000	1	101
FC85_RS13850	FC85	411	101	cas2_I_II_III_IV_V_VI_1	1.900e-23	77.400	0.967	0.891	1	90
FC85_RS13850	FC85	411	101	cas2_I_II_III_IV_V_VI_6	3.000e-34	112.500	0.871	0.980	1	99
FC85_RS13850	FC85	411	101	cas2_I_II_III_IV_V_VI_13	1.700e-17	58.200	1.000	0.762	1	77
FC85_RS13855	FC85	412	223	csn2_II-A_6	5.000e-81	266.300	1.000	0.987	2	221
I5Q80_RS09035	I5Q80	165	1187	Lamassu-Fam__LmuB_SMC_Hydrolase_protease	1.200e-13	44.700	0.488	0.420	5	503
I5Q80_RS09035	I5Q80	165	1187	Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II	1.400e-17	58.700	0.786	0.402	1	477
I5Q80_RS09035	I5Q80	165	1187	Wadjet__JetC_I	2.200e-13	43.700	0.428	0.430	295	805
I5Q80_RS09130	I5Q80	184	1382	cas9_II-A_1	0.000e+00	2070.800	0.997	0.995	3	1377
I5Q80_RS09130	I5Q80	184	1382	cas9_II-C_4	6.400e-43	142.100	0.967	0.993	3	1375
I5Q80_RS09130	I5Q80	184	1382	cas9_II-A_II-B_II-C_1	4.900e-174	575.600	0.978	0.740	5	1027
I5Q80_RS09130	I5Q80	184	1382	cas9_II-A_II-B_II-C_3	3.700e-129	427.200	0.839	0.849	3	1176
I5Q80_RS09135	I5Q80	185	302	cas1_I_II_III_IV_V_VI_5	1.400e-85	281.500	0.996	0.891	3	271
I5Q80_RS09135	I5Q80	185	302	cas1_I_II_III_IV_V_VI_1	8.200e-47	154.500	0.779	0.748	5	230
I5Q80_RS09135	I5Q80	185	302	cas1_I_II_III_IV_V_VI_2	4.100e-29	96.300	0.946	0.738	7	229
I5Q80_RS09135	I5Q80	185	302	cas1_I_II_III_IV_V_VI_8	2.000e-46	153.200	0.756	0.762	1	230
I5Q80_RS09135	I5Q80	185	302	cas1_I_II_III_IV_V_VI_10	6.100e-29	95.800	0.866	0.738	7	229
I5Q80_RS09140	I5Q80	186	101	cas2_I_II_III_IV_V_VI_11	7.700e-56	181.400	1.000	1.000	1	101
I5Q80_RS09140	I5Q80	186	101	cas2_I_II_III_IV_V_VI_1	3.700e-23	76.500	0.956	0.881	1	89
I5Q80_RS09140	I5Q80	186	101	cas2_I_II_III_IV_V_VI_6	3.200e-33	109.200	0.759	0.871	1	88
I5Q80_RS09140	I5Q80	186	101	cas2_I_II_III_IV_V_VI_13	2.900e-18	60.700	1.000	0.762	1	77
I5Q80_RS09145	I5Q80	187	223	csn2_II-A_6	1.000e-77	255.500	1.000	0.987	2	221
I5Q80_RS09150	I5Q80	188	387	cas12f2_V-F_1	8.600e-36	118.200	0.489	0.661	127	382
I5Q80_RS09170	I5Q80	192	913	Wadjet__JetC_III	2.200e-08	26.700	0.556	0.267	537	780
I6U31_RS06325	I6U31	282	416	cas12f2_V-F_1	1.800e-38	127.100	0.453	0.560	179	411
I6U31_RS06360	I6U31	287	223	csn2_II-A_6	2.400e-78	257.500	1.000	0.987	2	221
I6U31_RS06365	I6U31	288	101	cas2_I_II_III_IV_V_VI_11	9.200e-55	177.900	1.000	1.000	1	101
I6U31_RS06365	I6U31	288	101	cas2_I_II_III_IV_V_VI_1	7.700e-23	75.500	0.933	0.881	1	89
I6U31_RS06365	I6U31	288	101	cas2_I_II_III_IV_V_VI_6	1.400e-34	113.600	0.871	0.980	1	99
I6U31_RS06365	I6U31	288	101	cas2_I_II_III_IV_V_VI_13	3.500e-19	63.600	1.000	0.762	1	77
I6U31_RS06370	I6U31	289	242	cas1_I_II_III_IV_V_VI_5	1.400e-55	183.100	0.673	0.740	33	211
I6U31_RS06370	I6U31	289	242	cas1_I_II_III_IV_V_VI_1	1.900e-27	90.900	0.502	0.562	33	168
I6U31_RS06390	I6U31	293	1378	cas9_II-A_1	0.000e+00	1622.100	0.911	0.901	138	1378
I6U31_RS06390	I6U31	293	1378	cas9_II-C_4	2.800e-23	77.300	0.600	0.259	3	359
I6U31_RS06390	I6U31	293	1378	cas9_II-A_II-B_II-C_1	4.400e-177	585.700	0.971	0.755	3	1042
I6U31_RS06390	I6U31	293	1378	cas9_II-A_II-B_II-C_3	2.000e-130	431.400	0.734	0.773	2	1066
I6U31_RS06460	I6U31	307	416	cas12f2_V-F_1	1.100e-41	137.600	0.503	0.639	146	411
I6U31_RS06470	I6U31	309	390	Dnd__DndA	1.200e-103	341.600	0.987	0.954	5	376
IV45_RS05340	IV45	109	1365	cas9_II-A_1	0.000e+00	1965.400	0.998	0.994	3	1359
IV45_RS05340	IV45	109	1365	cas9_II-C_4	9.000e-44	144.900	0.970	0.993	2	1357
IV45_RS05340	IV45	109	1365	cas9_II-A_II-B_II-C_1	4.200e-176	582.500	0.973	0.749	5	1026
IV45_RS05340	IV45	109	1365	cas9_II-A_II-B_II-C_3	9.700e-133	439.000	0.892	0.898	3	1228
IV45_RS07785	IV45	108	117	csn2_II-A_6	2.100e-27	90.900	0.434	0.812	15	109
JIO03_RS04145	JIO03	252	1143	cas9_II-A_1	0.000e+00	1424.200	0.711	0.854	138	1113
JIO03_RS04145	JIO03	252	1143	cas9_II-C_4	4.700e-25	83.100	0.600	0.312	3	359
JIO03_RS04145	JIO03	252	1143	cas9_II-A_II-B_II-C_1	9.000e-176	581.400	0.971	0.910	3	1042
JIO03_RS04145	JIO03	252	1143	cas9_II-A_II-B_II-C_3	2.100e-129	428.000	0.705	0.910	2	1041
JIO03_RS04165	JIO03	256	282	cas1_I_II_III_IV_V_VI_5	1.100e-73	242.500	0.931	0.887	2	251
JIO03_RS04165	JIO03	256	282	cas1_I_II_III_IV_V_VI_1	2.500e-40	133.200	0.719	0.734	2	208
JIO03_RS04165	JIO03	256	282	cas1_I_II_III_IV_V_VI_2	4.400e-23	76.600	0.881	0.730	2	207
JIO03_RS04165	JIO03	256	282	cas1_I_II_III_IV_V_VI_8	9.900e-36	118.100	0.820	0.858	2	243
JIO03_RS04165	JIO03	256	282	cas1_I_II_III_IV_V_VI_10	1.100e-25	85.200	0.813	0.734	2	208
JIO03_RS04170	JIO03	257	101	cas2_I_II_III_IV_V_VI_11	3.500e-54	176.100	1.000	1.000	1	101
JIO03_RS04170	JIO03	257	101	cas2_I_II_III_IV_V_VI_1	4.800e-23	76.200	0.933	0.881	1	89
JIO03_RS04170	JIO03	257	101	cas2_I_II_III_IV_V_VI_6	2.200e-34	113.000	0.862	0.970	1	98
JIO03_RS04170	JIO03	257	101	cas2_I_II_III_IV_V_VI_13	4.900e-19	63.100	1.000	0.762	1	77
JIO03_RS04175	JIO03	258	223	csn2_II-A_6	6.700e-77	252.800	1.000	0.987	2	221
LFER_RS09520	LFER	68	93	csn2_II-A_6	3.200e-27	90.400	0.411	0.978	3	93
LFER_RS09525	LFER	69	101	cas2_I_II_III_IV_V_VI_11	3.500e-54	176.100	1.000	1.000	1	101
LFER_RS09525	LFER	69	101	cas2_I_II_III_IV_V_VI_1	4.800e-23	76.200	0.933	0.881	1	89
LFER_RS09525	LFER	69	101	cas2_I_II_III_IV_V_VI_6	2.200e-34	113.000	0.862	0.970	1	98
LFER_RS09525	LFER	69	101	cas2_I_II_III_IV_V_VI_13	4.900e-19	63.100	1.000	0.762	1	77
LFER_RS09530	LFER	70	301	cas1_I_II_III_IV_V_VI_5	5.900e-79	259.800	0.996	0.890	3	270
LFER_RS09530	LFER	70	301	cas1_I_II_III_IV_V_VI_1	1.500e-43	143.800	0.770	0.738	6	227
LFER_RS09530	LFER	70	301	cas1_I_II_III_IV_V_VI_2	9.900e-26	85.300	0.915	0.714	12	226
LFER_RS09530	LFER	70	301	cas1_I_II_III_IV_V_VI_8	2.700e-41	136.400	0.756	0.761	1	229
LFER_RS09530	LFER	70	301	cas1_I_II_III_IV_V_VI_10	1.100e-28	95.000	0.862	0.734	7	227
LFER_RS09535	LFER	71	842	cas9_II-A_1	0.000e+00	1180.700	0.618	1.000	1	842
LFER_RS09535	LFER	71	842	cas9_II-A_II-B_II-C_1	3.100e-112	371.200	0.632	0.601	1	506
LFER_RS09535	LFER	71	842	cas9_II-A_II-B_II-C_3	2.800e-79	262.000	0.533	0.741	2	625
LKE14_RS08935	LKE14	369	223	csn2_II-A_6	3.200e-64	211.300	0.995	0.982	3	221
LKE14_RS08940	LKE14	370	101	cas2_I_II_III_IV_V_VI_11	5.900e-54	175.300	1.000	1.000	1	101
LKE14_RS08940	LKE14	370	101	cas2_I_II_III_IV_V_VI_1	6.500e-21	69.300	0.944	0.871	1	88
LKE14_RS08940	LKE14	370	101	cas2_I_II_III_IV_V_VI_6	2.500e-33	109.600	0.836	0.941	1	95
LKE14_RS08940	LKE14	370	101	cas2_I_II_III_IV_V_VI_13	7.100e-19	62.600	1.000	0.762	1	77
LKE14_RS08945	LKE14	371	302	cas1_I_II_III_IV_V_VI_5	5.300e-86	282.900	0.993	0.887	3	270
LKE14_RS08945	LKE14	371	302	cas1_I_II_III_IV_V_VI_1	5.400e-51	168.200	0.779	0.748	5	230
LKE14_RS08945	LKE14	371	302	cas1_I_II_III_IV_V_VI_2	3.600e-34	112.900	0.946	0.738	8	230
LKE14_RS08945	LKE14	371	302	cas1_I_II_III_IV_V_VI_8	3.200e-49	162.500	0.753	0.758	1	229
LKE14_RS08945	LKE14	371	302	cas1_I_II_III_IV_V_VI_10	3.800e-34	112.900	0.866	0.738	7	229
LKE14_RS08950	LKE14	372	1372	cas9_II-A_1	0.000e+00	1991.700	0.997	0.996	4	1370
LKE14_RS08950	LKE14	372	1372	cas9_II-C_4	2.700e-37	123.500	0.974	0.998	2	1370
LKE14_RS08950	LKE14	372	1372	cas9_II-A_II-B_II-C_1	1.000e-174	577.900	0.975	0.741	5	1021
LKE14_RS08950	LKE14	372	1372	cas9_II-A_II-B_II-C_3	1.500e-130	431.800	0.811	0.819	5	1128
LKE14_RS09040	LKE14	390	1033	Lamassu-Fam__LmuB_SMC_Mrr	3.700e-07	23.700	0.441	0.251	388	646
LKE14_RS09040	LKE14	390	1033	Lamassu-Fam__LmuB_SMC_Hydrolase_protease	2.200e-27	90.200	0.816	0.834	19	880
LKE14_RS09040	LKE14	390	1033	Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II	3.900e-20	67.100	0.728	0.459	18	491
LMUP508_RS07500	LMUP508	51	527	Druantia_I__DruB	7.000e-15	49.800	0.504	0.478	34	285
LMUP508_RS07570	LMUP508	64	1395	cas9_II-A_1	0.000e+00	1749.200	0.909	0.892	151	1395
LMUP508_RS07570	LMUP508	64	1395	cas9_II-C_4	1.500e-18	61.600	0.600	0.257	10	367
LMUP508_RS07570	LMUP508	64	1395	cas9_II-A_II-B_II-C_1	7.500e-169	558.500	0.965	0.741	11	1044
LMUP508_RS07570	LMUP508	64	1395	cas9_II-A_II-B_II-C_3	3.400e-127	420.700	0.700	0.741	10	1043
LMUP508_RS07575	LMUP508	65	301	cas1_I_II_III_IV_V_VI_5	1.200e-87	288.300	0.993	0.887	3	269
LMUP508_RS07575	LMUP508	65	301	cas1_I_II_III_IV_V_VI_1	5.400e-44	145.200	0.776	0.744	5	228
LMUP508_RS07575	LMUP508	65	301	cas1_I_II_III_IV_V_VI_2	2.700e-25	83.800	0.946	0.738	7	228
LMUP508_RS07575	LMUP508	65	301	cas1_I_II_III_IV_V_VI_8	3.600e-43	142.600	0.753	0.757	1	228
LMUP508_RS07575	LMUP508	65	301	cas1_I_II_III_IV_V_VI_10	1.700e-26	87.700	0.862	0.734	7	227
LMUP508_RS07580	LMUP508	66	101	cas2_I_II_III_IV_V_VI_11	4.500e-55	178.900	1.000	1.000	1	101
LMUP508_RS07580	LMUP508	66	101	cas2_I_II_III_IV_V_VI_1	6.000e-23	75.900	0.944	0.871	1	88
LMUP508_RS07580	LMUP508	66	101	cas2_I_II_III_IV_V_VI_6	1.400e-31	104.000	0.853	0.970	1	98
LMUP508_RS07580	LMUP508	66	101	cas2_I_II_III_IV_V_VI_13	1.200e-18	61.900	1.000	0.762	1	77
LMUP508_RS07585	LMUP508	67	223	csn2_II-A_6	3.800e-64	211.100	1.000	0.987	2	221
Q3978_02065	Q3978	9	444	cas12f2_V-F_1	2.600e-36	120.000	0.766	0.944	11	429
Q3978_02070	Q3978	10	390	Dnd__DndA	8.100e-104	342.300	0.987	0.954	5	376
Q3978_02110	Q3978	17	1380	cas9_II-A_1	0.000e+00	1887.900	0.997	0.999	2	1380
Q3978_02110	Q3978	17	1380	cas9_II-C_4	2.500e-21	70.800	0.613	0.262	3	364
Q3978_02110	Q3978	17	1380	cas9_II-A_II-B_II-C_1	1.700e-174	577.100	0.970	0.754	3	1043
Q3978_02110	Q3978	17	1380	cas9_II-A_II-B_II-C_3	1.000e-126	419.100	0.814	0.839	2	1159
Q3978_02115	Q3978	18	301	cas1_I_II_III_IV_V_VI_5	2.000e-80	264.600	0.996	0.890	3	270
Q3978_02115	Q3978	18	301	cas1_I_II_III_IV_V_VI_1	1.600e-46	153.500	0.773	0.741	5	227
Q3978_02115	Q3978	18	301	cas1_I_II_III_IV_V_VI_2	4.400e-26	86.400	0.935	0.728	7	225
Q3978_02115	Q3978	18	301	cas1_I_II_III_IV_V_VI_8	3.400e-43	142.600	0.741	0.744	1	224
Q3978_02115	Q3978	18	301	cas1_I_II_III_IV_V_VI_10	3.000e-30	100.100	0.862	0.734	7	227
Q3978_02120	Q3978	19	101	cas2_I_II_III_IV_V_VI_11	1.100e-54	177.700	1.000	1.000	1	101
Q3978_02120	Q3978	19	101	cas2_I_II_III_IV_V_VI_1	1.500e-23	77.800	0.956	0.901	1	91
Q3978_02120	Q3978	19	101	cas2_I_II_III_IV_V_VI_6	4.500e-34	112.000	0.871	0.980	1	99
Q3978_02120	Q3978	19	101	cas2_I_II_III_IV_V_VI_13	4.300e-20	66.500	1.000	0.762	1	77
Q3978_02125	Q3978	20	223	csn2_II-A_6	6.900e-71	233.100	1.000	0.987	2	221
QOR70_RS04775	QOR70	146	223	csn2_II-A_6	4.300e-57	188.000	1.000	0.987	2	221
QOR70_RS04780	QOR70	147	101	cas2_I_II_III_IV_V_VI_11	9.400e-56	181.100	1.000	1.000	1	101
QOR70_RS04780	QOR70	147	101	cas2_I_II_III_IV_V_VI_1	4.400e-22	73.100	0.944	0.871	1	88
QOR70_RS04780	QOR70	147	101	cas2_I_II_III_IV_V_VI_6	1.300e-33	110.500	0.871	0.980	1	99
QOR70_RS04780	QOR70	147	101	cas2_I_II_III_IV_V_VI_13	1.300e-18	61.700	1.000	0.762	1	77
QOR70_RS04785	QOR70	148	301	cas1_I_II_III_IV_V_VI_5	1.100e-82	272.100	0.996	0.890	3	270
QOR70_RS04785	QOR70	148	301	cas1_I_II_III_IV_V_VI_1	1.900e-47	156.600	0.776	0.744	5	228
QOR70_RS04785	QOR70	148	301	cas1_I_II_III_IV_V_VI_2	3.800e-28	93.200	0.946	0.738	7	228
QOR70_RS04785	QOR70	148	301	cas1_I_II_III_IV_V_VI_8	5.200e-46	151.900	0.753	0.757	1	228
QOR70_RS04785	QOR70	148	301	cas1_I_II_III_IV_V_VI_10	4.200e-29	96.300	0.862	0.734	7	227
QOR70_RS04790	QOR70	149	1375	cas9_II-A_1	0.000e+00	1658.000	0.998	0.999	2	1375
QOR70_RS04790	QOR70	149	1375	cas9_II-C_4	1.400e-28	94.700	0.713	0.401	4	555
QOR70_RS04790	QOR70	149	1375	cas9_II-A_II-B_II-C_1	3.400e-158	523.300	0.970	0.754	4	1040
QOR70_RS04790	QOR70	149	1375	cas9_II-A_II-B_II-C_3	9.400e-119	392.700	0.892	0.908	1	1248
QOR70_RS04815	QOR70	152	294	CBASS__Effector_2TM_SUa-2TM	8.600e-22	72.500	0.946	0.935	19	293
QOR70_RS04820	QOR70	153	137	CBASS__E2	9.000e-26	85.700	0.690	0.891	16	137
QOR70_RS04825	QOR70	154	368	CBASS__Cyclase_II	4.800e-47	155.400	0.944	0.894	14	342
QOR70_RS04825	QOR70	154	368	CBASS__Cyclase_SMODS	3.100e-17	58.000	0.945	0.418	9	162
QOR70_RS04830	QOR70	155	743	Gao_Iet__IetS	2.800e-21	69.900	0.623	0.594	267	707
