id,target_prot,seqid,fam_cluster,padloc_system,padloc_gene,deffinder_system,deffinder_gene,start,end,rel_start,rel_end,strand,flip_strand,product,locus_tag,assembly_accession,species_taxid,kingdom,phylum,class,order,family,genus,species,linecolor,fillcolor
MDO4855333.1,MDO4855339.1,JAUMVI010000006.1,10,,,,,45707,46309,-7011,-6409,-,-,cadmium resistance transporter,Q3978_02075,GCA_030530255.1,1450649,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus gorillae,"[35.325083463359285, 61.532460035453816, 96.7070759811814, 255]","[70.65016692671857, 123.06492007090763, 193.4141519623628, 255]"
MDO4855334.1,MDO4855339.1,JAUMVI010000006.1,11,,,,,46320,47000,-6398,-5718,-,-,DUF554 domain-containing protein,Q3978_02080,GCA_030530255.1,1450649,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus gorillae,"[98.2947127096455, 36.77689093569376, 29.322333998038154, 255]","[196.589425419291, 73.55378187138751, 58.64466799607631, 255]"
MDO4855335.1,MDO4855339.1,JAUMVI010000006.1,12,,,,,47516,48361,-5202,-4357,+,+,MetQ/NlpA family ABC transporter substrate-binding protein,Q3978_02085,GCA_030530255.1,1450649,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus gorillae,"[28.969630186921364, 75.64884471295056, 97.18879583456662, 255]","[57.93926037384273, 151.29768942590113, 194.37759166913324, 255]"
MDO4855336.1,MDO4855339.1,JAUMVI010000006.1,6,,,,,49005,49436,-3713,-3282,+,+,phosphate-starvation-inducible protein PsiE,Q3978_02095,GCA_030530255.1,1450649,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus gorillae,"[100.84144788848097, 112.56801838642647, 84.35374322802248, 255]","[201.68289577696194, 225.13603677285295, 168.70748645604496, 255]"
MDO4855337.1,MDO4855339.1,JAUMVI010000006.1,4,,,,,49448,50266,-3270,-2452,+,+,bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase,Q3978_02100,GCA_030530255.1,1450649,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus gorillae,"[113.55458853929483, 96.45516768831553, 70.71994173459358, 255]","[227.10917707858965, 192.91033537663105, 141.43988346918715, 255]"
MDO4855338.1,MDO4855339.1,JAUMVI010000006.1,7,,,,,50518,52479,-2200,-239,+,+,hypothetical protein,Q3978_02105,GCA_030530255.1,1450649,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus gorillae,"[75.46964627440586, 117.3744886305716, 97.33528625349952, 255]","[150.93929254881172, 234.7489772611432, 194.67057250699904, 255]"
MDO4855339.1,MDO4855339.1,JAUMVI010000006.1,0,cas_type_II-A,Cas9,CAS_Class2-Subtype-II-A,cas9_II-A_1,52718,56860,0,4142,+,+,type II CRISPR RNA-guided endonuclease Cas9,Q3978_02110,GCA_030530255.1,1450649,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus gorillae,"[0, 0, 0, 255]","[201.36333332764525, 89.32648283598287, 69.03443619229839, 255]"
MDO4855340.1,MDO4855339.1,JAUMVI010000006.1,1,cas_type_II-A,Cas1_II,CAS_Class2-Subtype-II-A,cas1_I_II_III_IV_V_VI_5,57065,57970,4347,5252,+,+,type II CRISPR-associated endonuclease Cas1,Q3978_02115,GCA_030530255.1,1450649,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus gorillae,"[0, 0, 0, 255]","[204.49667191062449, 99.6717190113312, 75.89646796575155, 255]"
MDO4855341.1,MDO4855339.1,JAUMVI010000006.1,3,cas_type_II-A,Cas2_II,CAS_Class2-Subtype-II-A,cas2_I_II_III_IV_V_VI_11,57948,58253,5230,5535,+,+,CRISPR-associated endonuclease Cas2,Q3978_02120,GCA_030530255.1,1450649,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus gorillae,"[0, 0, 0, 255]","[100.62703781392865, 30.29656754082209, 179.51542666149774, 255]"
MDO4855342.1,MDO4855339.1,JAUMVI010000006.1,2,cas_type_II-A,Csn2,CAS_Class2-Subtype-II-A,csn2_II-A_6,58250,58921,5532,6203,+,+,type II-A CRISPR-associated protein Csn2,Q3978_02125,GCA_030530255.1,1450649,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus gorillae,"[0, 0, 0, 255]","[156.6936756617153, 236.12111077786028, 193.0341998905749, 255]"
WP_093625389.1,WP_167336629.1,NZ_BCAH01000022.1,37,,,,,1540,1977,16882,17319,-,+,D-aminoacyl-tRNA deacylase,AOQ57_RS03865,GCF_001293735.1,1450649,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus gorillae,"[83.87179767491796, 118.64624395821923, 94.55208509887964, 255]","[167.7435953498359, 237.29248791643846, 189.1041701977593, 255]"
WP_093625391.1,WP_167336629.1,NZ_BCAH01000022.1,28,,,,,1988,4222,14637,16871,-,+,bifunctional (p)ppGpp synthetase/guanosine-3'%2C5'-bis(diphosphate) 3'-pyrophosphohydrolase,AOQ57_RS03870,GCF_001293735.1,1450649,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus gorillae,"[86.51981009519115, 118.5464480546438, 93.40713376634228, 255]","[173.0396201903823, 237.0928961092876, 186.81426753268457, 255]"
WP_093625393.1,WP_167336629.1,NZ_BCAH01000022.1,24,,,,,4237,4578,14281,14622,-,+,hypothetical protein,AOQ57_RS03875,GCF_001293735.1,1450649,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus gorillae,"[47.994265433747856, 101.21748091215075, 99.81895406954834, 255]","[95.98853086749571, 202.4349618243015, 199.63790813909668, 255]"
WP_093625395.1,WP_167336629.1,NZ_BCAH01000022.1,13,,,,,4641,5390,13469,14218,-,+,16S rRNA (uracil(1498)-N(3))-methyltransferase,AOQ57_RS03880,GCF_001293735.1,1450649,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus gorillae,"[87.81534216145823, 118.39882847743232, 92.79455668748746, 255]","[175.63068432291647, 236.79765695486464, 185.58911337497491, 255]"
WP_093625397.1,WP_167336629.1,NZ_BCAH01000022.1,30,,,,,5390,6352,12507,13469,-,+,50S ribosomal protein L11 methyltransferase,AOQ57_RS03885,GCF_001293735.1,1450649,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus gorillae,"[35.21057706279159, 89.55453926543744, 98.55545978879034, 255]","[70.42115412558319, 179.10907853087488, 197.1109195775807, 255]"
WP_174498188.1,WP_167336629.1,NZ_BCAH01000022.1,26,,,,,6417,6716,12143,12442,-,+,hypothetical protein,AOQ57_RS03890,GCF_001293735.1,1450649,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus gorillae,"[45.44812056409533, 31.78029879014361, 92.92685966923577, 255]","[90.89624112819067, 63.56059758028722, 185.85371933847154, 255]"
WP_093625405.1,WP_167336629.1,NZ_BCAH01000022.1,20,,,,,7244,8197,10662,11615,+,-,L-lactate dehydrogenase,AOQ57_RS03900,GCF_001293735.1,1450649,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus gorillae,"[114.42566851993624, 94.84783693217737, 69.52768584553274, 255]","[228.85133703987248, 189.69567386435475, 139.0553716910655, 255]"
WP_235789000.1,WP_167336629.1,NZ_BCAH01000022.1,21,,,,,8420,9598,9261,10439,-,+,hypothetical protein,AOQ57_RS08295,GCF_001293735.1,1450649,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus gorillae,"[32.43988344327098, 68.38958154600219, 97.08994647594845, 255]","[64.87976688654196, 136.77916309200438, 194.1798929518969, 255]"
WP_093625407.1,WP_167336629.1,NZ_BCAH01000022.1,39,,,,,9608,11239,7620,9251,-,+,hypothetical protein,AOQ57_RS03910,GCF_001293735.1,1450649,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus gorillae,"[111.025957879069, 78.72565598180023, 57.71713744871684, 255]","[222.051915758138, 157.45131196360046, 115.43427489743368, 255]"
WP_093625409.1,WP_167336629.1,NZ_BCAH01000022.1,2,cas_type_II-A,Csn2,CAS_Class2-Subtype-II-A,csn2_II-A_6,12698,13369,5490,6161,-,+,type II-A CRISPR-associated protein Csn2,AOQ57_RS03915,GCF_001293735.1,1450649,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus gorillae,"[0, 0, 0, 255]","[156.6936756617153, 236.12111077786028, 193.0341998905749, 255]"
WP_093625411.1,WP_167336629.1,NZ_BCAH01000022.1,3,cas_type_II-A,Cas2_II,CAS_Class2-Subtype-II-A,cas2_I_II_III_IV_V_VI_11,13366,13671,5188,5493,-,+,CRISPR-associated endonuclease Cas2,AOQ57_RS03920,GCF_001293735.1,1450649,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus gorillae,"[0, 0, 0, 255]","[100.62703781392865, 30.29656754082209, 179.51542666149774, 255]"
WP_093625413.1,WP_167336629.1,NZ_BCAH01000022.1,1,cas_type_II-A,Cas1_II,CAS_Class2-Subtype-II-A,cas1_I_II_III_IV_V_VI_5,13649,14554,4305,5210,-,+,type II CRISPR-associated endonuclease Cas1,AOQ57_RS03925,GCF_001293735.1,1450649,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus gorillae,"[0, 0, 0, 255]","[204.49667191062449, 99.6717190113312, 75.89646796575155, 255]"
WP_167336629.1,WP_167336629.1,NZ_BCAH01000022.1,0,cas_type_II-A,Cas9,CAS_Class2-Subtype-II-A,cas9_II-A_1,14750,18859,0,4109,-,+,type II CRISPR RNA-guided endonuclease Cas9,AOQ57_RS03930,GCF_001293735.1,1450649,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus gorillae,"[0, 0, 0, 255]","[201.36333332764525, 89.32648283598287, 69.03443619229839, 255]"
WP_093625416.1,WP_167336629.1,NZ_BCAH01000022.1,7,,,,,19098,21059,-2200,-239,-,+,hypothetical protein,AOQ57_RS03935,GCF_001293735.1,1450649,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus gorillae,"[75.46964627440586, 117.3744886305716, 97.33528625349952, 255]","[150.93929254881172, 234.7489772611432, 194.67057250699904, 255]"
WP_174498186.1,WP_167336629.1,NZ_BCAH01000022.1,4,,,,,21311,22129,-3270,-2452,-,+,bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase,AOQ57_RS03940,GCF_001293735.1,1450649,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus gorillae,"[113.55458853929483, 96.45516768831553, 70.71994173459358, 255]","[227.10917707858965, 192.91033537663105, 141.43988346918715, 255]"
WP_235789001.1,WP_167336629.1,NZ_BCAH01000022.1,6,,,,,22141,22572,-3713,-3282,-,+,phosphate-starvation-inducible protein PsiE,AOQ57_RS03945,GCF_001293735.1,1450649,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus gorillae,"[100.84144788848097, 112.56801838642647, 84.35374322802248, 255]","[201.68289577696194, 225.13603677285295, 168.70748645604496, 255]"
WP_093625424.1,WP_167336629.1,NZ_BCAH01000022.1,12,,,,,23216,24061,-5202,-4357,-,+,MetQ/NlpA family ABC transporter substrate-binding protein,AOQ57_RS03955,GCF_001293735.1,1450649,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus gorillae,"[28.969630186921364, 75.64884471295056, 97.18879583456662, 255]","[57.93926037384273, 151.29768942590113, 194.37759166913324, 255]"
WP_093625426.1,WP_167336629.1,NZ_BCAH01000022.1,11,,,,,24577,25257,-6398,-5718,+,-,DUF554 domain-containing protein,AOQ57_RS03960,GCF_001293735.1,1450649,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus gorillae,"[98.2947127096455, 36.77689093569376, 29.322333998038154, 255]","[196.589425419291, 73.55378187138751, 58.64466799607631, 255]"
WP_093625428.1,WP_167336629.1,NZ_BCAH01000022.1,10,,,,,25268,25870,-7011,-6409,+,-,cadmium resistance transporter,AOQ57_RS03965,GCF_001293735.1,1450649,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus gorillae,"[35.325083463359285, 61.532460035453816, 96.7070759811814, 255]","[70.65016692671857, 123.06492007090763, 193.4141519623628, 255]"
WP_093625430.1,WP_167336629.1,NZ_BCAH01000022.1,17,,,,,25962,27134,-8275,-7103,-,+,cysteine desulfurase family protein,AOQ57_RS03970,GCF_001293735.1,1450649,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus gorillae,"[100.84144788848097, 112.56801838642647, 84.35374322802248, 255]","[201.68289577696194, 225.13603677285295, 168.70748645604496, 255]"
WP_093625432.1,WP_167336629.1,NZ_BCAH01000022.1,9,,,,,28894,29349,-10490,-10035,+,-,IS200/IS605 family transposase,AOQ57_RS03980,GCF_001293735.1,1450649,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus gorillae,"[38.47151297410953, 53.19547935794847, 95.95040928271898, 255]","[76.94302594821906, 106.39095871589694, 191.90081856543796, 255]"
WP_093625434.1,WP_167336629.1,NZ_BCAH01000022.1,19,,,,,29720,30793,-11934,-10861,+,-,bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase RibD,AOQ57_RS03985,GCF_001293735.1,1450649,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus gorillae,"[81.14754455574219, 118.48448221578323, 95.58908693162896, 255]","[162.29508911148437, 236.96896443156646, 191.1781738632579, 255]"
WP_093625436.1,WP_167336629.1,NZ_BCAH01000022.1,16,,,,,30778,31386,-12527,-11919,+,-,riboflavin synthase,AOQ57_RS03990,GCF_001293735.1,1450649,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus gorillae,"[42.21611573547356, 42.15729530512139, 94.56077434968991, 255]","[84.43223147094712, 84.31459061024277, 189.12154869937982, 255]"
WP_093625438.1,WP_167336629.1,NZ_BCAH01000022.1,25,,,,,31373,32554,-13695,-12514,+,-,GTP cyclohydrolase II,AOQ57_RS03995,GCF_001293735.1,1450649,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus gorillae,"[112.66938820855664, 98.01386433264176, 71.89335459239558, 255]","[225.33877641711328, 196.02772866528352, 143.78670918479116, 255]"
WP_093625440.1,WP_167336629.1,NZ_BCAH01000022.1,34,,,,,32559,33035,-14176,-13700,+,-,6%2C7-dimethyl-8-ribityllumazine synthase,AOQ57_RS04000,GCF_001293735.1,1450649,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus gorillae,"[108.0210101276299, 105.04159259704555, 77.46266722558468, 255]","[216.0420202552598, 210.0831851940911, 154.92533445116936, 255]"
WP_093625442.1,WP_167336629.1,NZ_BCAH01000022.1,46,,,,,33070,34245,-15386,-14211,-,+,phosphoglycerate dehydrogenase,AOQ57_RS04005,GCF_001293735.1,1450649,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus gorillae,"[29.855666813859525, 73.89594587911584, 97.19899463021446, 255]","[59.71133362771905, 147.79189175823169, 194.39798926042891, 255]"
WP_093625444.1,WP_167336629.1,NZ_BCAH01000022.1,31,,,,,34352,36184,-17325,-15493,-,+,translation elongation factor 4,AOQ57_RS04010,GCF_001293735.1,1450649,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus gorillae,"[50.6568848212568, 13.949338775702547, 89.5054334134344, 255]","[101.3137696425136, 27.898677551405093, 179.0108668268688, 255]"
WP_093625446.1,WP_167336629.1,NZ_BCAH01000022.1,41,,,,,36307,37905,-19046,-17448,-,+,cation:proton antiporter,AOQ57_RS04015,GCF_001293735.1,1450649,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus gorillae,"[48.93640434746056, 19.93612269928842, 90.73415944840183, 255]","[97.87280869492112, 39.87224539857684, 181.46831889680365, 255]"
WP_225431413.1,WP_185910605.1,NZ_CABFNH010000025.1,49,,,,,1,776,-19576,-18801,+,+,IS3 family transposase,LMUP508_RS07490,GCF_901971775.1,97478,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus mucosae,"[36.14954118070831, 90.4752707216708, 98.68828164555805, 255]","[72.29908236141662, 180.9505414433416, 197.3765632911161, 255]"
WP_143113247.1,WP_185910605.1,NZ_CABFNH010000025.1,,,,,,793,2556,-18784,-17021,-,-,hypothetical protein,LMUP508_RS07495,GCF_901971775.1,97478,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus mucosae,"[115.0, 115.0, 115.0, 255]","[230, 230, 230, 255]"
WP_143113248.1,WP_185910605.1,NZ_CABFNH010000025.1,,,,,,2556,4139,-17021,-15438,-,-,hypothetical protein,LMUP508_RS07500,GCF_901971775.1,97478,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus mucosae,"[115.0, 115.0, 115.0, 255]","[230, 230, 230, 255]"
WP_143113249.1,WP_185910605.1,NZ_CABFNH010000025.1,67,,,,,4347,5288,-15230,-14289,+,+,NmrA family NAD(P)-binding protein,LMUP508_RS07505,GCF_901971775.1,97478,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus mucosae,"[56.62136113314165, 107.83390323696727, 99.91652550731254, 255]","[113.2427222662833, 215.66780647393455, 199.83305101462508, 255]"
WP_143113250.1,WP_185910605.1,NZ_CABFNH010000025.1,,,,,,5715,6272,-13862,-13305,-,-,phosphoribosyltransferase family protein,LMUP508_RS07510,GCF_901971775.1,97478,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus mucosae,"[115.0, 115.0, 115.0, 255]","[230, 230, 230, 255]"
WP_143113251.1,WP_185910605.1,NZ_CABFNH010000025.1,,,,,,6285,7364,-13292,-12213,-,-,NCS2 family permease,LMUP508_RS07515,GCF_901971775.1,97478,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus mucosae,"[115.0, 115.0, 115.0, 255]","[230, 230, 230, 255]"
WP_143113252.1,WP_185910605.1,NZ_CABFNH010000025.1,,,,,,9459,10118,-10118,-9459,+,+,sugar O-acetyltransferase,LMUP508_RS07525,GCF_901971775.1,97478,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus mucosae,"[115.0, 115.0, 115.0, 255]","[230, 230, 230, 255]"
WP_143113253.1,WP_185910605.1,NZ_CABFNH010000025.1,,,,,,10262,10630,-9315,-8947,-,-,hypothetical protein,LMUP508_RS07530,GCF_901971775.1,97478,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus mucosae,"[115.0, 115.0, 115.0, 255]","[230, 230, 230, 255]"
WP_056967691.1,WP_185910605.1,NZ_CABFNH010000025.1,,,,,,10810,11859,-8767,-7718,+,+,heat-inducible transcriptional repressor HrcA,LMUP508_RS07535,GCF_901971775.1,97478,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus mucosae,"[115.0, 115.0, 115.0, 255]","[230, 230, 230, 255]"
WP_143113254.1,WP_185910605.1,NZ_CABFNH010000025.1,,,,,,11870,12469,-7707,-7108,+,+,nucleotide exchange factor GrpE,LMUP508_RS07540,GCF_901971775.1,97478,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus mucosae,"[115.0, 115.0, 115.0, 255]","[230, 230, 230, 255]"
WP_034540937.1,WP_185910605.1,NZ_CABFNH010000025.1,,,,,,12506,14368,-7071,-5209,+,+,molecular chaperone DnaK,LMUP508_RS07545,GCF_901971775.1,97478,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus mucosae,"[115.0, 115.0, 115.0, 255]","[230, 230, 230, 255]"
WP_143113255.1,WP_185910605.1,NZ_CABFNH010000025.1,,,,,,14496,15650,-5081,-3927,+,+,molecular chaperone DnaJ,LMUP508_RS07550,GCF_901971775.1,97478,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus mucosae,"[115.0, 115.0, 115.0, 255]","[230, 230, 230, 255]"
WP_006499796.1,WP_185910605.1,NZ_CABFNH010000025.1,31,,,,,15796,17637,-3781,-1940,+,+,translation elongation factor 4,LMUP508_RS07555,GCF_901971775.1,97478,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus mucosae,"[50.6568848212568, 13.949338775702547, 89.5054334134344, 255]","[101.3137696425136, 27.898677551405093, 179.0108668268688, 255]"
WP_143113256.1,WP_185910605.1,NZ_CABFNH010000025.1,,PDC-M24,PDC-M24B,,,17894,18664,-1683,-913,-,-,DUF1828 domain-containing protein,LMUP508_RS07560,GCF_901971775.1,97478,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus mucosae,"[0, 0, 0, 255]","[230, 230, 230, 255]"
WP_039945656.1,WP_185910605.1,NZ_CABFNH010000025.1,,PDC-M24,PDC-M24A,,,18682,19110,-895,-467,-,-,polymorphic toxin type 24 domain-containing protein,LMUP508_RS07565,GCF_901971775.1,97478,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus mucosae,"[0, 0, 0, 255]","[230, 230, 230, 255]"
